index-10396850.js:271 [ORDERS DEBUG] scroll {top: 4.800000190734863, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 41.599998474121094, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 97.5999984741211, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 657.5999755859375, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 1254.4000244140625, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 3156, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 14657.599609375, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] document click {tag: 'SELECT', id: '', className: 'orders-table__delivery-type-select', ariaLabel: 'Type de livraison', text: 'A domicileStop desk', …}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 484.79998779296875, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] document click {tag: 'TR', id: '', className: 'orders-row', ariaLabel: null, text: 'خبوزة بلقاسم06 57 51 05 20LI569طقم طهارة فاخر للمو…11ChlefChlefBleu/أزرق, 0-3 أشهر/MoishomeA domicil', …}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 485.6000061035156, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 500, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 551.2000122070312, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 617.5999755859375, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 756, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 863.2000122070312, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 1064, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 1208, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 1260.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 1264.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 1393.5999755859375, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 1508, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 1611.199951171875, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 1704, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 1788.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 1864.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 1936.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2004, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2065.60009765625, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2124.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2180.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2231.199951171875, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2280, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2325.60009765625, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2369.60009765625, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2412, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2451.199951171875, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2488.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2524.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2560, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2592, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2623.199951171875, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2652.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2681.60009765625, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2708.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2736, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2760.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2784.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2808, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2831.199951171875, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2852, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 2976, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 3067.199951171875, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 3168, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 3344, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 3440.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 3552, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 3659.199951171875, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 3855.199951171875, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 4008.800048828125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 4133.60009765625, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 4239.2001953125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 4331.2001953125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 4372.7998046875, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 4792, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 4824.7998046875, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 5533.60009765625, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 6074.39990234375, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 6969.60009765625, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 7604, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 8237.599609375, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 8964.7998046875, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 9375.2001953125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 9748, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 10232.7998046875, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 10531.2001953125, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 10960, left: 0, viewportH: 695, viewportW: 846}
index-10396850.js:271 [ORDERS DEBUG] scroll {top: 11165.599609375, left: 0, viewportH: 695, viewportW: 846}
